sequence_name,wuhan_alphafold RMSD,7n1u RMSD,ddG,antigenicity
gen4_174,0.636,2.217,-4.7,49.5
gen4_237,0.635,2.302,-4.8,49.5
gen4_307,1.008,2.135,-5,50.666667
gen4_356,0.167,2.12,-5.7,50.166667
gen4_379,0.263,2.078,-5.7,49.833333
gen4_387,0.216,2.095,-4.9,50.083333
gen4_391,0.381,2.166,-4.8,49.666667
gen4_434,0.343,2.135,-5.3,49.75
gen4_480,0.282,2.081,-4.6,50.083333
gen4_522,0.915,2.173,-6.2,50
11gram_13,0.469,2.096,-2.7,50.75
11gram_19,0.974,2.108,-8.3,50.166667
11gram_22,0.26,2.074,-2.4,49.416667
11gram_2,0.298,2.05,-2.4,49.833333
11gram_35,0.271,2.119,-2.4,49.75
11gram_40,0.281,2.112,-2.7,51.25
11gram_45,0.27,2.109,-2.3,50.083333
11gram_4,0.868,2.116,-2.9,49.25
11gram_82,0.227,2.137,-5.1,50.666667
11gram_87,0.216,2.144,-2.5,50.333333
random75_0,0.221,2.114,-2.5,49.166667
random75_13,0.34,2.12,-2.1,50.416667
random75_41,0.386,2.137,-2.5,51.333333
random75_48,0.173,2.129,-2.5,51.25
random75_50,0.216,2.074,-3,51.083333
random75_54,0.214,2.109,-2.8,51.333333
random75_59,0.982,2.211,-2.8,51
random75_78,0.209,2.142,-2.5,51.083333
random75_82,0.222,2.105,-1.9,51.333333
random75_96,0.19,2.128,-2.5,51.583333
alpha_alphafold,0.897,2.164,,
beta_alphafold,0.941,2.168,,
delta_alphafold,0.274,2.069,,
epsilon_alphafold,0.931,2.152,,
gamma_alphafold,0.408,2.043,,
omicron_alphafold,0.336,2.125,,
wuhan_alphafold,0,2.135,,
